Algorithm,N,Type,Domain,Sample,Time_us,Memory_KB
Naive,16,dispersa,D0,a,9,136
Strassen,16,dispersa,D0,a,1658,28
Naive,16,dispersa,D0,b,4,0
Strassen,16,dispersa,D0,b,1465,0
Naive,16,dispersa,D0,c,6,0
Strassen,16,dispersa,D0,c,1518,0
Naive,16,dispersa,D10,a,5,0
Strassen,16,dispersa,D10,a,1314,0
Naive,16,dispersa,D10,b,4,0
Strassen,16,dispersa,D10,b,1206,0
Naive,16,dispersa,D10,c,3,0
Strassen,16,dispersa,D10,c,1148,0
Naive,16,diagonal,D0,a,4,0
Strassen,16,diagonal,D0,a,1155,0
Naive,16,diagonal,D0,b,4,0
Strassen,16,diagonal,D0,b,1169,0
Naive,16,diagonal,D0,c,4,0
Strassen,16,diagonal,D0,c,1152,0
Naive,16,diagonal,D10,a,4,0
Strassen,16,diagonal,D10,a,1166,0
Naive,16,diagonal,D10,b,3,0
Strassen,16,diagonal,D10,b,1161,0
Naive,16,diagonal,D10,c,4,0
Strassen,16,diagonal,D10,c,1168,0
Naive,16,densa,D0,a,4,0
Strassen,16,densa,D0,a,1157,0
Naive,16,densa,D0,b,3,0
Strassen,16,densa,D0,b,1142,0
Naive,16,densa,D0,c,4,0
Strassen,16,densa,D0,c,1139,0
Naive,16,densa,D10,a,6,0
Strassen,16,densa,D10,a,1565,0
Naive,16,densa,D10,b,4,0
Strassen,16,densa,D10,b,1390,0
Naive,16,densa,D10,c,5,0
Strassen,16,densa,D10,c,1317,0
Naive,64,dispersa,D0,a,278,0
Strassen,64,dispersa,D0,a,56238,396
Naive,64,dispersa,D0,b,252,0
Strassen,64,dispersa,D0,b,54690,0
Naive,64,dispersa,D0,c,249,0
Strassen,64,dispersa,D0,c,55365,4
Naive,64,dispersa,D10,a,262,0
Strassen,64,dispersa,D10,a,54719,0
Naive,64,dispersa,D10,b,248,0
Strassen,64,dispersa,D10,b,56106,0
Naive,64,dispersa,D10,c,241,0
Strassen,64,dispersa,D10,c,55877,0
Naive,64,diagonal,D0,a,249,0
Strassen,64,diagonal,D0,a,54930,0
Naive,64,diagonal,D0,b,256,0
Strassen,64,diagonal,D0,b,55999,0
Naive,64,diagonal,D0,c,268,0
Strassen,64,diagonal,D0,c,55368,0
Naive,64,diagonal,D10,a,248,0
Strassen,64,diagonal,D10,a,54809,0
Naive,64,diagonal,D10,b,248,0
Strassen,64,diagonal,D10,b,54776,0
Naive,64,diagonal,D10,c,249,0
Strassen,64,diagonal,D10,c,54249,0
Naive,64,densa,D0,a,256,0
Strassen,64,densa,D0,a,54495,0
Naive,64,densa,D0,b,248,0
Strassen,64,densa,D0,b,54293,0
Naive,64,densa,D0,c,248,0
Strassen,64,densa,D0,c,54759,0
Naive,64,densa,D10,a,248,0
Strassen,64,densa,D10,a,54223,0
Naive,64,densa,D10,b,248,0
Strassen,64,densa,D10,b,55140,0
Naive,64,densa,D10,c,229,0
Strassen,64,densa,D10,c,54413,0
Naive,256,dispersa,D0,a,14341,0
Strassen,256,dispersa,D0,a,2683185,5916
Naive,256,dispersa,D0,b,14932,0
Strassen,256,dispersa,D0,b,2668051,0
Naive,256,dispersa,D0,c,15453,0
Strassen,256,dispersa,D0,c,2668533,0
Naive,256,dispersa,D10,a,15197,0
Strassen,256,dispersa,D10,a,2672149,0
Naive,256,dispersa,D10,b,14715,0
Strassen,256,dispersa,D10,b,2668120,800
Naive,256,dispersa,D10,c,14332,0
Strassen,256,dispersa,D10,c,2669409,0
Naive,256,diagonal,D0,a,15103,0
Strassen,256,diagonal,D0,a,2667905,0
Naive,256,diagonal,D0,b,14239,0
Strassen,256,diagonal,D0,b,2667080,272
Naive,256,diagonal,D0,c,14129,0
Strassen,256,diagonal,D0,c,2662469,0
Naive,256,diagonal,D10,a,14895,0
Strassen,256,diagonal,D10,a,2679218,0
Naive,256,diagonal,D10,b,14867,0
Strassen,256,diagonal,D10,b,2668388,0
Naive,256,diagonal,D10,c,14522,0
Strassen,256,diagonal,D10,c,2666011,0
Naive,256,densa,D0,a,16675,0
Strassen,256,densa,D0,a,2672173,0
Naive,256,densa,D0,b,15479,0
Strassen,256,densa,D0,b,2667379,0
Naive,256,densa,D0,c,15055,0
Strassen,256,densa,D0,c,2673706,0
Naive,256,densa,D10,a,15006,0
Strassen,256,densa,D10,a,2662140,0
Naive,256,densa,D10,b,14266,0
Strassen,256,densa,D10,b,2660332,0
Naive,256,densa,D10,c,15291,0
Strassen,256,densa,D10,c,2681364,800
Naive,1024,dispersa,D0,a,1926349,0
Strassen,1024,dispersa,D0,a,129965664,93272
Naive,1024,dispersa,D0,b,1898026,0
Strassen,1024,dispersa,D0,b,129836371,0
Naive,1024,dispersa,D0,c,1980761,0
Strassen,1024,dispersa,D0,c,130100742,1932
Naive,1024,dispersa,D10,a,1902042,0
Strassen,1024,dispersa,D10,a,129807466,0
Naive,1024,dispersa,D10,b,1950744,0
Strassen,1024,dispersa,D10,b,129761061,0
Naive,1024,dispersa,D10,c,1979330,0
Strassen,1024,dispersa,D10,c,130182581,216
Naive,1024,diagonal,D0,a,1947129,0
Strassen,1024,diagonal,D0,a,130092907,0
Naive,1024,diagonal,D0,b,1967417,0
Strassen,1024,diagonal,D0,b,129701571,0
Naive,1024,diagonal,D0,c,1943558,0
Strassen,1024,diagonal,D0,c,129889190,5764
Naive,1024,diagonal,D10,a,1986353,0
Strassen,1024,diagonal,D10,a,129752870,0
Naive,1024,diagonal,D10,b,1913895,0
Strassen,1024,diagonal,D10,b,130245202,0
Naive,1024,diagonal,D10,c,1936704,0
Strassen,1024,diagonal,D10,c,129964076,104
Naive,1024,densa,D0,a,2040058,0
Strassen,1024,densa,D0,a,130011255,0
Naive,1024,densa,D0,b,1883404,0
Strassen,1024,densa,D0,b,130144264,0
Naive,1024,densa,D0,c,2012287,0
Strassen,1024,densa,D0,c,129316152,0
Naive,1024,densa,D10,a,1957716,0
Strassen,1024,densa,D10,a,129786303,444
Naive,1024,densa,D10,b,1947016,0
Strassen,1024,densa,D10,b,130120927,0
Naive,1024,densa,D10,c,2009585,0
Strassen,1024,densa,D10,c,129894606,0
