Algorithm,N,Type,Domain,Sample,Time_us,Memory_KB
MergeSort,10,ascendente,D1,a,5,200
PatienceSort,10,ascendente,D1,a,9,4
QuickSort,10,ascendente,D1,a,1,0
StdSort,10,ascendente,D1,a,0,0
MergeSort,10,ascendente,D1,b,2,0
PatienceSort,10,ascendente,D1,b,4,0
QuickSort,10,ascendente,D1,b,0,0
StdSort,10,ascendente,D1,b,0,0
MergeSort,10,ascendente,D1,c,2,0
PatienceSort,10,ascendente,D1,c,3,0
QuickSort,10,ascendente,D1,c,1,0
StdSort,10,ascendente,D1,c,0,0
MergeSort,10,ascendente,D7,a,2,0
PatienceSort,10,ascendente,D7,a,2,0
QuickSort,10,ascendente,D7,a,0,0
StdSort,10,ascendente,D7,a,0,0
MergeSort,10,ascendente,D7,b,2,0
PatienceSort,10,ascendente,D7,b,2,0
QuickSort,10,ascendente,D7,b,0,0
StdSort,10,ascendente,D7,b,0,0
MergeSort,10,ascendente,D7,c,2,0
PatienceSort,10,ascendente,D7,c,2,0
QuickSort,10,ascendente,D7,c,0,0
StdSort,10,ascendente,D7,c,0,0
MergeSort,10,descendente,D1,a,2,0
PatienceSort,10,descendente,D1,a,3,0
QuickSort,10,descendente,D1,a,1,0
StdSort,10,descendente,D1,a,0,0
MergeSort,10,descendente,D1,b,2,0
PatienceSort,10,descendente,D1,b,2,0
QuickSort,10,descendente,D1,b,0,0
StdSort,10,descendente,D1,b,0,0
MergeSort,10,descendente,D1,c,1,0
PatienceSort,10,descendente,D1,c,1,0
QuickSort,10,descendente,D1,c,0,0
StdSort,10,descendente,D1,c,0,0
MergeSort,10,descendente,D7,a,1,0
PatienceSort,10,descendente,D7,a,1,0
QuickSort,10,descendente,D7,a,0,0
StdSort,10,descendente,D7,a,0,0
MergeSort,10,descendente,D7,b,0,0
PatienceSort,10,descendente,D7,b,0,0
QuickSort,10,descendente,D7,b,0,0
StdSort,10,descendente,D7,b,0,0
MergeSort,10,descendente,D7,c,0,0
PatienceSort,10,descendente,D7,c,0,0
QuickSort,10,descendente,D7,c,0,0
StdSort,10,descendente,D7,c,0,0
MergeSort,10,aleatorio,D1,a,1,0
PatienceSort,10,aleatorio,D1,a,2,0
QuickSort,10,aleatorio,D1,a,0,0
StdSort,10,aleatorio,D1,a,0,0
MergeSort,10,aleatorio,D1,b,1,0
PatienceSort,10,aleatorio,D1,b,2,0
QuickSort,10,aleatorio,D1,b,0,0
StdSort,10,aleatorio,D1,b,0,0
